,school,optional,details,applicants,pct_accept,sat_low,sat_high,act_low,act_high
153,College of Wooster,1,The College of Wooster offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,6352,0.547,1150,1380,24.0,31.0
154,San Jose State University,1,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,36243,0.547,1040,1260,19.0,26.0
155,California State Polytechnic University--Pomona,1,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,36660,0.555,1030,1250,19.0,27.0
156,Whitman College,1,Whitman College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international and homeschooled students are strongly encouraged to submit SAT or ACT scores.,4832,0.5579999999999999,1240,1450,28.0,33.0
157,Sarah Lawrence College,1,Sarah Lawrence College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3325,0.5579999999999999,1240,1420,27.0,32.0
158,New School,1,The New School offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,9911,0.5660000000000001,1150,1360,24.0,30.0
159,University of Pittsburgh,1,University of Pittsburgh has adopted a one-year test optional policy for Fall 2021 applicants to the Dietrich School however students applying to the Business Computing & Information Engineering and Nursing schools are still required to submit scores.,32091,0.5670000000000001,1260,1440,28.0,33.0
160,University of California Riverside,1,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,49788,0.5670000000000001,1130,1340,24.0,30.0
161,University of Minnesota—​Twin Cities,1,University of Minnesota-Twin Cities has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,40673,0.5670000000000001,1260,1480,26.0,31.0
162,Hobart and William Smith Colleges,1,Hobart and William Smith Colleges offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,4526,0.569,1203,1360,27.0,30.0
163,Abilene Christian University,1,Abilene Christian University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,11569,0.57,1040,1230,21.0,27.0
164,Bennington College,1,Bennington has a test-optional policy which allows students to be considered for admission without submitting SAT or ACT scores.,1494,0.57,1230,1390,28.0,32.0
165,Birmingham-​Southern College,1,Birmingham-Southern College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores. However applicants who select test optional admission are required to have an interview with an admissions counselor.,3628,0.57,1040,1250,22.0,28.0
166,Fairfield University,1,Fairfield University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,12315,0.5710000000000001,1210,1350,26.0,30.0
167,Georgia State,1,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,19838,0.574,990,1190,21.0,26.0
168,Texas A&M University—​College Station,1,Texas A&M University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,42899,0.575,1160,1390,26.0,31.0
169,Saint Louis University,1,Saint Louis University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,15120,0.575,1180,1370,25.0,31.0
170,St. John's College Annapolis,1,St. John's College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students and students who will not earn high school diplomas are not eligible for test optional admission. Most international students are not eligible for test optional admission.,913,0.5760000000000001,1210,1450,24.0,33.0
171,Lake Forest College,1,Lake Forest College has a test-optional policy which allows students to be considered for admission without submitting SAT or ACT scores. Test optional applicants must complete an interview. Homeschooled students are not eligible for test optional admission.,4147,0.579,1110,1310,23.0,29.0
172,Kennesaw State University,1,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,13427,0.579,1080,1270,21.0,26.0
173,California State University--Fresno,1,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,18122,0.579,950,1130,16.0,22.0
174,Rollins College,1,"Rollins offers a test optional policy (""test scores waived option"") which allows students to be considered for admission without SAT or ACT scores. However applicants to the 3/2 Accelerated Management Program or the Honors Degree Program must submit test scores.",6167,0.583,1160,1340,24.0,30.0
175,University of Hawaii at Manoa,1,University of Hawaii has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,16244,0.584,1070,1270,21.0,26.0
176,University of Denver,1,University of Denver offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,21028,0.5870000000000001,1170,1350,26.0,31.0
177,Hampden-​Sydney College,1,Hampden-Sydney College has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,3240,0.59,1050,1250,21.0,27.0
178,University of Illinois—​Urbana-​Champaign,1,University of Illinois--Urbana-Champaign has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,43509,0.59,1220,1480,27.0,33.0
179,Millsaps College,1,Millsaps College has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,4161,0.593,1080,1260,22.0,28.0
180,California State University--Northridge,1,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,30637,0.593,910,1130,16.0,22.0
181,Clark University,1,Clark University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students are not eligible for test optional admission.,7687,0.594,1200,1390,28.0,31.0
182,Lipscomb University,1,Lipscomb University has adopted a one-year test optional policy for first-year applicants entering in Spring and Fall 2021.,3638,0.595,1060,1320,22.0,29.0
183,Virginia Military Institute,1,The Virginia Military Institute has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,1515,0.595,1090,1270,21.0,28.0
184,Purdue University—​West Lafayette,1,Purdue University has adopted a one-year Test Flexible policy which means that while they prefer students submit SAT or ACT scores applications will still be evaluated without them for students who couldn't test. This policy applies to the Spring Summer and Fall 2021 terms.,54912,0.598,1190,1440,25.0,32.0
185,Temple University,1,Temple University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However home-schooled applicants recruited student athletes and international applicants are not eligible for test optional admission.,35599,0.6,1120,1320,24.0,30.0
186,Rutgers The State University of New Jersey—​New Brunswick,1,Rutgers has adopted a one-year test optional policy for in the 2020-21 admission cycle.,41348,0.601,1190,1410,25.0,31.0
187,Illinois Institute of Technology,1,Illinois Institute of Technology has adopted a one-year test optional policy for students applying to the Spring and Fall 2021 semesters.,5049,0.602,1190,1400,26.0,32.0
188,Yeshiva University,1,Yeshiva has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,1508,0.603,1140,1400,22.0,30.0
189,Illinois Wesleyan University,1,Illinois Wesleyan has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Test optional applicants must have an interview with their admissions counselor and submit an essay.,3719,0.608,1120,1320,24.0,29.0
190,Furman University,1,Furman University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,5469,0.611,1230,1410,28.0,32.0
191,University at Buffalo—​SUNY,1,University at Buffalo-SUNY has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,29900,0.611,1160,1340,24.0,29.0
192,Concordia College—​Moorhead,1,Concordia College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,4160,0.612,1080,1368,21.0,27.0
193,SUNY College of Environmental Science and Forestry,1,SUNY College of Environmental Science and Forestry has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,2018,0.614,1120,1310,23.0,29.0
194,University of Portland,1,University of Portland has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,14505,0.615,1160,1330,23.0,29.0
195,Cornell College,1,Cornell College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. Students who apply test optional are expected to respond to two additional written prompts on their applications and to submit portfolios.,3118,0.618,1100,1345,23.0,29.0
196,Muhlenberg College,1,Muhlenberg College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,4146,0.618,1170,1360,26.0,30.0
197,Gonzaga University,1,Gonzaga University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,9279,0.619,1210,1358,25.0,30.0
198,Beloit College,1,Beloit offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3657,0.62,1080,1380,24.0,30.0
199,Lawrence University,1,Lawrence University offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3463,0.621,1200,1430,25.0,32.0
200,University of Utah,1,The University of Utah has adopted a test optional policy for students applying through Fall 2023. However students who have GEDs who attend a non-accredited high school or who are applying for direct admission into select programs are not eligible for TO. Test scores are also required for merit scholarships.,24404,0.621,11425,1380,22.0,29.0
201,Allegheny College,1,Allegheny College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However international students are not eligible for test optional admission.,5208,0.622,1170,1360,24.0,30.0
202,University of Delaware,1,University of Delaware has adopted a one-year test optional policy for all students applying to the Spring and Fall 2021 terms.,27691,0.624,1170,1350,25.0,30.0
203,Westmont College,1,Westmont College has adopted a one-year test optional policy for student applying to the Spring and Fall 2021 semesters.,2937,0.624,1110,1370,23.0,30.0
204,Luther College,1,Luther College has adopted a one-year test optional policy for Fall 2021 applicants.,4422,0.626,1050,1310,23.0,29.0
205,Rutgers The State University of New Jersey—​Newark,1,Rutgers has adopted a one-year test optional policy for in the 2020-21 admission cycle.,13259,0.627,1020,1190,19.0,24.0
206,Earlham College,1,Earlham offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However international students and homeschooled students are not eligible for test optional admission.,2070,0.634,1100,1370,23.0,30.0
207,Augustana College,1,Augustana College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. Test optional applicants may be asked to complete an interview. However homeschooled applicants and international applicants are not eligible for test optional admission.,6211,0.636,1070,1280,22.0,29.0
208,Wofford College,1,Wofford College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However international students are not eligible for test optional admission.,3522,0.636,1180,1350,27.0,30.0
209,New Jersey Institute of Technology,1,The New Jersey Institute of Technology has adopted a one-year test optional policy for applicants applying in the 2020-21 admissions cycle.,8123,0.637,1190,1380,25.0,30.0
210,University of Massachusetts—​Amherst,1,UMass Amherst has adopted a three-year test optional policy beginning with the 2020-21 admission cycle. They will reevaluate their policy after the three-year period.,42157,0.638,1190,1390,26.0,32.0
211,Wabash College,1,Wabash has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,1307,0.642,1120,1320,23.0,29.0
212,DePauw University,1,DePauw University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students who wish to apply for an Honor Scholar or Fellows program are not eligible for test optional admission.,4935,0.644,1130,1360,23.0,30.0
213,Drury University,1,Drury University offers a test optional policy which allows domestic students to be considered for admission without SAT or ACT scores.,1664,0.644,1045,1225,22.0,28.0
214,St. John Fisher College,1,St. John Fisher College has adopted a two-year test optional policy beginning with the 2020-21 admission cycle. They will reevaluate their policy after two years.,4720,0.645,1070,1260,21.0,26.0
215,University of San Francisco,1,University of San Francisco offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,18411,0.6459999999999999,1130,1330,23.0,29.0
216,Bard College,1,Bard College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,5141,0.6459999999999999,1248,1420,27.0,31.0
217,Goshen College,1,Goshen has adopted a one-year test optional policy for students applying to enroll in Fall 2021.,1278,0.647,1010,1210,21.0,29.0
218,Agnes Scott College,1,Agnes Scott College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,1751,0.648,1130,1340,24.0,30.0
219,Virginia Polytechnic Institute and State University,1,Virginia Polytechnic Institute and State University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,31936,0.648,1180,1390,25.0,31.0
220,University of Houston,1,University of Houston has adopted a one-year test optional policy for all first-year applicants applying in the 2020-21 admission cycle. Applicants electing TO must submit 2 letters of support a personal statement and a resumé.,25393,0.65,1140,1310,22.0,27.0
221,University of North Carolina—​Charlotte,1,The UNC System has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,21867,0.65,1120,1290,22.0,26.0
222,Truman State University,1,Truman State University has adopted a one-year Test Flexible policy which means that while they prefer students submit SAT or ACT scores applications will still be evaluated without them for students who couldn't test. Students applying without test scores must submit an essay and may be asked to provide additional information. Test scores are required to be eligible for some scholarships or programs.,4568,0.653,1080,1358,24.0,30.0
223,University of North Carolina—​Wilmington,1,The UNC System has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,13287,0.655,1170,1320,22.0,27.0
224,SUNY—​Geneseo,1,SUNY-Geneseo has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,10433,0.655,1120,1310,23.0,28.0
225,Embry-​Riddle Aeronautical University,1,Embry-Riddle Aeronautical University offers a test optional policy which allows most students to be considered for admission without SAT or ACT scores. Homeschooled students must provide SAT or ACT scores and show academic strength through SAT Subject Tests and/or AP Exams.,6017,0.655,1110,1320,22.0,29.0
226,University of the Pacific,1,University of the Pacific offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,13096,0.6559999999999999,1130,1360,23.0,31.0
227,Rochester Institute of Technology,1,Rochester Institute of Technology offers a test optional policy which allows students applying to most programs to be considered for admission without SAT or ACT scores. Students applying to imaging science motion picture science and photographic sciences within the College of Art & Design must still provide test scores,18948,0.66,1200,1400,27.0,32.0
228,Berry College,1,Berry College offers a test optional policy which allows students to apply without standardized test scores.,3970,0.6609999999999999,1110,1310,23.0,29.0
229,Mississippi State University,1,Mississippi State has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,18269,0.6629999999999999,1070,1280,22.0,30.0
230,Sewanee—​University of the South,1,Sewanee--The University of the South offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,3545,0.667,1150,1340,25.0,30.0
231,Hanover College,1,Hanover College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,7795,0.669,1078,1300,22.0,28.0
232,Coe College,1,Coe College requires either the SAT or ACT however it will waive this requirement if you have a 3.0+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,7795,0.669,1078,1300,22.0,28.0
233,Randolph-​Macon College,1,Randolph-Macon College has adopted a one-year test optional policy for students applying to the Fall 2021 semester. However students applying to direct entry Bachelor of Science in Nursing program must submit scores.,2907,0.6709999999999999,1020,1240,20.0,27.0
234,Loyola University Chicago,1,Loyola University Chicago offers a test optional policy which allows students to be considered for admission without standardized test scores. However students applying for admission to the Bachelor of Nursing and Engineering Science programs will still be required to submit a self-reported test score as part of the requirement for review.,25583,0.672,1140,1320,25.0,30.0
235,University of Vermont,1,University of Vermont has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,19233,0.6729999999999999,1180,1360,26.0,31.0
236,San Francisco State University,1,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,34629,0.6729999999999999,940,1150,17.0,23.0
237,Brigham Young University—​Provo,1,BYU has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,10500,0.675,1210,1420,26.0,31.0
238,Drake University,1,"Drake University offers a test optional policy which it refers to as a ""test-flexible"" plan which allows students to either write an essay or sit for an interview in lieu of submitting test scores. However homeschooled students as well as applicants to certain programs are not eligible for test optional admission.",6944,0.6759999999999999,1100,1370,24.0,31.0
239,Stonehill College,1,Stonehill College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,6961,0.677,1120,1290,24.0,28.5
240,Elmhurst College,1,Elmhurst has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle. Students who choose to apply TO will be required to submit an essay.,4175,0.6779999999999999,990,1210,20.0,26.0
241,Taylor University,1,Taylor University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Students who choose not to submit scores may be asked to provide more information or complete proficiency exams.,2341,0.6809999999999999,1080,1310,22.0,28.0
242,DePaul University,1,DePaul University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Subject Tests are not required. However homeschooled students and international students are not eligible for test optional admission.,26895,0.682,1070,1290,0.0,0.0
243,Knox College,1,Knox College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,3397,0.6829999999999999,1090,1350,24.0,31.0
244,Hofstra University,1,Hofstra Univeristy offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and international students are not eligible for test optional admission.,24425,0.685,1160,1340,25.0,30.0
245,Ithaca College,1,Ithaca College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,15278,0.685,1160,1338,25.0,30.0
246,California State University--San Bernardino,1,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,16307,0.6859999999999999,910,1090,15.0,19.0
247,University of South Carolina,1,The University of South Carolina has adopted a one-year test optional policy for students applying for 2021 admission.,31268,0.6859999999999999,1180,1370,25.0,31.0
248,Albion College,1,Albion College has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,4043,0.688,990,1200,21.0,27.0
249,Presbyterian College (SC),1,Presbyterian College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,2462,0.688,1010,1210,19.0,25.0
250,Texas Tech University,1,Texas Tech University has adopted a one-year test optional policy for both domestic and international first-year applicants ientering in the Fall of 2021. It is highly encouraged to submit an SAT/ACT score if an applicant is able to do so in order to qualify for scholarships. It does not require the SAT Essay or ACT Writing Test.,25384,0.6890000000000001,1070,1260,22.0,27.0
251,Ohio Wesleyan University,1,Ohio Wesleyan University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,4705,0.69,1060,1295,22.0,28.0
252,Ripon College,1,Ripon College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,2619,0.69,1000,1210,20.0,27.0
253,Drew University,1,Drew University offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,3788,0.6920000000000001,1110,1310,25.0,30.0
254,Gustavus Adolphus College,1,Gustavus Adolphus College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,4957,0.6920000000000001,0,0,25.0,30.0
255,Central Michigan,1,Central Michigan University has adopted a one-year test optional policy for students entering in 2021. However homeschooled students or students whose high schools do not provide grades are not eligible for TO admission.,16411,0.695,990,1200,20.0,26.0
256,Oklahoma State University,1,Oklahoma State University has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle. Students applying without test scores must submit essays and other supplemental documents. Test scores are required for most university scholarships.,15277,0.7,1040,1265,21.0,28.0
257,Bradley University,1,Bradley University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,10708,0.7020000000000001,1070,1270,22.0,28.0
258,Seton Hall University,1,Seton Hall University has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,19260,0.7040000000000001,1150,1310,24.0,28.0
259,Biola University,1,Biola University has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle.,4149,0.705,1080,1310,21.0,28.0
260,Ursinus College,1,Ursinus College has a test-optional policy which allows students to be considered for admissions without submitting SAT or ACT scores. However homeschooled applicants and applicants with narrative-style transcripts are not eligible for test optional admission.,3361,0.7090000000000001,1140,1320,23.0,28.0
261,Montclair State,1,Montclair State offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,14324,0.7090000000000001,990,1170,0.0,0.0
262,Clarkson University,1,Clarkson University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,6885,0.711,1160,1350,24.0,30.0
263,Michigan State University,1,Michigan State has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle. However homeschooled students are not eligible for test optional admission.,44322,0.711,1100,1320,23.0,29.0
264,Hollins University,1,Hollins University has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle.,3244,0.7120000000000001,1070,1300,22.0,30.0
265,Creighton University,1,Creighton offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants to the nursing program and homeschooled students are not eligible for test optional admission.,10112,0.7140000000000001,1150,1350,24.0,30.0
266,California Lutheran University,1,California Lutheran University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission and test scores are required to qualify for some merit scholarships.,5752,0.715,1070,1250,21.0,26.0
267,University of Mary Washington,1,The University of Mary Washington offers a test optional policy which allows students to petition to be considered for admission without SAT or ACT scores. However students applying for the Pre-Nursing Program or merit based scholarships and homeschooled students are not eligible for test choice.,5909,0.718,1050,1269,22.0,29.0
268,Christopher Newport University,1,Christopher Newport University requires either the SAT or ACT however they will waive this requirement for students with a 3.5+ GPA or who rank in the top 10% of their class. For students applying in the 2020-21 admission cycle there is no minimum GPA for test optional admission.,7204,0.7190000000000001,1110,1280,22.0,27.0
269,University of California—Merced,1,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,25368,0.72,980,1180,17.0,22.0
270,Mercer University,1,Mercer University has adopted a three-year test optional policy. After Fall 2023 they will reevaluate.,5454,0.72,1180,1340,25.0,30.0
271,University of Dayton,1,The University of Dayton has adopted a test-flexible policy for high school juniors applying for its fall 2021 entering class. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,17462,0.72,1120,1320,23.0,29.0
272,Lewis & Clark College,1,Lewis and Clark offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Prior to the 2020-21 admission cycle students who chose not to submit standardized test scores had to submit an academic portfolio in lieu of scores. However students will no longer be required to submit a portfolio.,5863,0.722,1220,1400,27.0,31.0
273,Hendrix College,1,Hendrix College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However homeschooled students and international students who are native speakers of English are not eligible for test optional admission.,1545,0.722,1153,1390,26.0,32.0
274,University of Rhode Island,1,University of Rhode Island has adopted a one-year test optional policy for applicants to the Spring and Fall 2021 semesters.,21259,0.723,1012,1345,20.0,29.0
275,California State University--Chico,1,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,25908,0.723,990,1180,18.0,24.0
276,Stetson University,1,Stetson University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,13005,0.7240000000000001,1110,1300,22.0,29.0
277,Quinnipiac University,1,Quinnipiac University offers a test optional policy which allows most students applying to the College of Arts and Sciences School of Business School of Communications and School of Engineering to be considered for admission without SAT or ACT scores. Homeschooled students and students playing a Division I sport must provide test scores.,22753,0.725,1090,1260,23.0,28.0
278,Duquesne University,1,Duquesne offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,7411,0.725,1130,1300,23.0,28.0
279,University of Illinois—​Chicago,1,The University of Illinois-Chicago has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,22696,0.727,1030,1260,21.0,28.0
280,University of Akron,1,The University of Akron has adopted a test optional policy for first year applicants both domestic and international in the 2020-21 admission cycle.,14553,0.73,990,1230,19.0,25.0
281,St. John's University (NY),1,St. John's University offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students some international students students applying for several specific majors and prospective student athletes are not eligible for test optional admission.,27276,0.731,1070,1270,23.0,29.0
282,University of Cincinnati,1,The University of Cincinnati has adopted a two-year test optional policy beginning with the 2020-2021 admission cycle. However standardized test scores are still required for admission into some programs.,23296,0.731,1160,1370,24.0,29.0
283,Simmons University,1,Simmons University State has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle.,2933,0.731,1110,1290,23.0,29.0
284,Wayne State University,1,WSU has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,15716,0.731,1010,1230,21.0,27.0
285,Butler University,1,Butler University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants who major in Pre-Pharmacy Health Sciences and Healthcare and Business programs students who attend secondary schools that do not provide letter grades homeschooled students and transfer applicants who have completed fewer than 20 college credits are not eligible for test optional admission.,14891,0.732,1150,1330,24.0,30.0
286,Point Loma Nazarene University,1,PLNU has adopted a one-year test optional policy for Fall 2021 applicants.,3277,0.737,1140,1310,24.0,29.0
287,University of North Texas,1,University of North Texas requires either the SAT or ACT. However they will waive this requirement for students with a 3.0+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,21540,0.737,1060,1250,20.0,26.0
288,University of North Georgia,1,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,6498,0.737,1108,1273,22.0,27.0
289,Xavier University,1,Xavier University offers a test optional policy which allows students to be considered for admission without test scores. However homeschooled students are not eligible for test optional admission.,15100,0.738,1070,1250,22.0,28.0
290,Wheaton College (MA),1,Wheaton College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However Wheaton encourages students whose first language is not English to submit their SAT or ACT scores along with the required English proficiency testing.,3460,0.7390000000000001,1150,1340,27.0,32.0
291,Eastern Michigan,1,Eastern Michigan University has adopted a one-year test optional policy for students with a 2.5+ GPA applying in the 2020-21 admission cycle.,14323,0.741,970,1190,19.0,25.0
292,University of Washington--Bothell,1,The University of Washington--Bothell has adopted a one-year test optional policy for firstyear applicants both domestic and international in the 2020-21 admission cycle.,4242,0.741,1038,1250,19.0,28.0
293,Adelphi University,1,Adelphi University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,13006,0.742,1080,1270,22.0,27.0
294,Baldwin Wallace University,1,Baldwin Wallace University offers a test optional policy which allows students to be considered for admission without test scores. However home schooled students are not eligible for test optional admission.,3926,0.742,1030,1250,21.0,27.0
295,Michigan Technological University,1,Michigan Technological University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. However homeschooled students and students applying for merit scholarships must submit test scores.,5978,0.743,1170,1370,25.0,30.0
296,Drexel University,1,Drexel University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,31824,0.747,1190,1390,25.0,31.0
297,University of Redlands,1,University of Redlands offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,4713,0.75,1100,1250,23.0,28.0
298,Loyola University New Orleans,1,Starting with the Fall 2021 application cycle Loyola will not require a standardized test score for its university admission application and will not consider a test score should a student choose to submit.,5857,0.75,1050,1260,22.0,28.0
299,California State University--Monterey Bay,1,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,12327,0.753,960,1170,17.0,23.0
300,Whittier College,1,Whittier College offers a test optional policy which allows students to be considered for admission without test scores. Students with a GPA below 3.0 may be asked to submit standardized test scores.,6220,0.759,1030,1213,20.0,25.0
301,Kalamazoo College,1,Kalamazoo College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3576,0.76,1170,1370,25.0,31.0
302,Towson University,1,Towson has adopted a one-year test optional policy for applicants for Fall 2021 admission.,12678,0.763,1060,1220,20.0,25.0
303,Centre College,1,Centre College has adopted a three-year test optional policy for first year students beginning with the 2020-21 admission cycle. After a three-year pilot period Centre will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,2212,0.764,1130,1380,26.0,32.0
304,University of Texas San Antonio,1,University of Texas San Antonio has adopted a one-year test optional policy for first-year applicants entering through Spring 2022. However it still recommends submitting test scores as this can affect scholarship eligibility and admission into certain colleges or majors that require the SAT/ACT.,17122,0.7659999999999999,1030,1220,19.0,25.0
305,Ball State,1,Ball State University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students whose high schools do not provide grades are not eligible for test optional admission.,23305,0.767,0,0,0.0,0.0
306,James Madison University,1,James Madison University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,23578,0.768,1120,1290,23.0,28.0
307,Appalachian State University,1,Appalachian State has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,16664,0.768,1100,1270,22.0,28.0
