school name,charter number,site type,more details,statistical info,county
Aspire Ollin University Preparatory Academy,693,Site-based Instruction,Aspire Ollin University Preparatory Academy,DataQuest Reports,Los Angeles
Aspire Pacific Academy,1230,Site-based Instruction,Aspire Pacific Academy,DataQuest Reports,Los Angeles
Aspire Slauson Academy Charter,1330,Site-based Instruction,Aspire Slauson Academy Charter,DataQuest Reports,Los Angeles
Aspire Titan Academy,1550,Site-based Instruction,Aspire Titan Academy,DataQuest Reports,Los Angeles
Assurance Learning Academy,1458,Independent Study,Assurance Learning Academy,DataQuest Reports,Los Angeles
Aveson Global Leadership Academy,847,Site-based Instruction,Aveson Global Leadership Academy,DataQuest Reports,Los Angeles
Aveson School of Leaders,848,Site-based Instruction,Aveson School of Leaders,DataQuest Reports,Los Angeles
Barack Obama Charter,1062,Site-based Instruction,Barack Obama Charter,DataQuest Reports,Los Angeles
Beckford Charter for Enriched Studies,1344,Site-based Instruction,Beckford Charter for Enriched Studies,DataQuest Reports,Los Angeles
Bert Corona Charter,654,Site-based Instruction,Bert Corona Charter,DataQuest Reports,Los Angeles
Bert Corona Charter High,1724,Site-based Instruction,Bert Corona Charter High,DataQuest Reports,Los Angeles
Birmingham Community Charter High,1119,Site-based Instruction,Birmingham Community Charter High,DataQuest Reports,Los Angeles
Bridges Preparatory Academy,2114,Site-based Instruction,Bridges Preparatory Academy,DataQuest Reports,Los Angeles
Bright Star Secondary Charter Academy,826,Site-based Instruction,Bright Star Secondary Charter Academy,DataQuest Reports,Los Angeles
Calabash Charter Academy,1345,Site-based Instruction,Calabash Charter Academy,DataQuest Reports,Los Angeles
California School of the Arts - San Gabriel Valley,1838,Site-based Instruction,California School of the Arts - San Gabriel Valley,DataQuest Reports,Los Angeles
California Virtual Academy @ Los Angeles,838,Independent Study,California Virtual Academy @ Los Angeles,DataQuest Reports,Los Angeles
Calliope Academy,2096,Site-based Instruction,Calliope Academy,DataQuest Reports,Los Angeles
Calvert Charter For Enriched Studies,1585,Site-based Instruction,Calvert Charter For Enriched Studies,DataQuest Reports,Los Angeles
Camino Nuevo Academy #2,1231,Site-based Instruction,Camino Nuevo Academy #2,DataQuest Reports,Los Angeles
Camino Nuevo Charter Academy,293,Site-based Instruction,Camino Nuevo Charter Academy,DataQuest Reports,Los Angeles
Camino Nuevo Charter Academy #4,1334,Site-based Instruction,Camino Nuevo Charter Academy #4,DataQuest Reports,Los Angeles
Camino Nuevo Elementary #3,1212,Site-based Instruction,Camino Nuevo Elementary #3,DataQuest Reports,Los Angeles
Camino Nuevo Elementary School 3,1212,Site-based Instruction,Camino Nuevo Elementary School 3,DataQuest Reports,Los Angeles
Camino Nuevo High #2,1540,Site-based Instruction,Camino Nuevo High #2,DataQuest Reports,Los Angeles
Canyon Charter Elementary,226,Site-based Instruction,Canyon Charter Elementary,DataQuest Reports,Los Angeles
Carpenter Community Charter,1235,Site-based Instruction,Carpenter Community Charter,DataQuest Reports,Los Angeles
Castlebay Lane Charter,1477,Site-based Instruction,Castlebay Lane Charter,DataQuest Reports,Los Angeles
"CATCH Prep Charter High, Inc.",570,Site-based Instruction,"CATCH Prep Charter High, Inc.",DataQuest Reports,Los Angeles
Center for Advanced Learning,937,Site-based Instruction,Center for Advanced Learning,DataQuest Reports,Los Angeles
Central City Value,534,Site-based Instruction,Central City Value,DataQuest Reports,Los Angeles
Century Community Charter,672,Site-based Instruction,Century Community Charter,DataQuest Reports,Los Angeles
CHAMPS - Charter HS of Arts-Multimedia & Performing,712,Site-based Instruction,CHAMPS - Charter HS of Arts-Multimedia & Performing,DataQuest Reports,Los Angeles
Chatsworth Charter High,1581,Site-based Instruction,Chatsworth Charter High,DataQuest Reports,Los Angeles
CHIME Institute's Schwarzenegger Community,417,Site-based Instruction,CHIME Institute's Schwarzenegger Community,DataQuest Reports,Los Angeles
Citizens of the World Charter School 4,2081,Site-based Instruction,Citizens of the World Charter School 4,DataQuest Reports,Los Angeles
Citizens of the World Charter School 5,2082,Site-based Instruction,Citizens of the World Charter School 5,DataQuest Reports,Los Angeles
Citizens of the World Charter School Hollywood,1200,Site-based Instruction,Citizens of the World Charter School Hollywood,DataQuest Reports,Los Angeles
Citizens of the World Charter School Mar Vista,1414,Site-based Instruction,Citizens of the World Charter School Mar Vista,DataQuest Reports,Los Angeles
Citizens of the World Charter School Silver Lake,1413,Site-based Instruction,Citizens of the World Charter School Silver Lake,DataQuest Reports,Los Angeles
City Honors International College Preparatory High,2075,Site-based Instruction,City Honors International College Preparatory High,DataQuest Reports,Los Angeles
City Language Immersion Charter,1538,Site-based Instruction,City Language Immersion Charter,DataQuest Reports,Los Angeles
Clear Passage Educational Center,1682,Independent Study,Clear Passage Educational Center,DataQuest Reports,Los Angeles
Colfax Charter Elementary,1041,Site-based Instruction,Colfax Charter Elementary,DataQuest Reports,Los Angeles
Collegiate Charter High of Los Angeles,1722,Site-based Instruction,Collegiate Charter High of Los Angeles,DataQuest Reports,Los Angeles
Community Magnet Charter Elementary,957,Site-based Instruction,Community Magnet Charter Elementary,DataQuest Reports,Los Angeles
Compass Charter Schools of Los Angeles,1651,Independent Study,Compass Charter Schools of Los Angeles,DataQuest Reports,Los Angeles
Crete Academy,1854,Site-based Instruction,Crete Academy,DataQuest Reports,Los Angeles
Crown Preparatory Academy,1187,Site-based Instruction,Crown Preparatory Academy,DataQuest Reports,Los Angeles
Da Vinci Communications High,1689,Site-based Instruction,Da Vinci Communications High,DataQuest Reports,Los Angeles
Da Vinci Connect,1597,Independent Study,Da Vinci Connect,DataQuest Reports,Los Angeles
Da Vinci Design,1081,Site-based Instruction,Da Vinci Design,DataQuest Reports,Los Angeles
Da Vinci Rise High,2017,Independent Study,Da Vinci Rise High,DataQuest Reports,Los Angeles
Da Vinci Science,1060,Site-based Instruction,Da Vinci Science,DataQuest Reports,Los Angeles
Dearborn Elementary Charter Academy,1481,Site-based Instruction,Dearborn Elementary Charter Academy,DataQuest Reports,Los Angeles
Desert Sands Charter,411,Independent Study,Desert Sands Charter,DataQuest Reports,Los Angeles
Discovery Charter Preparatory School #2,949,Site-based Instruction,Discovery Charter Preparatory School #2,DataQuest Reports,Los Angeles
Dixie Canyon Community Charter,1469,Site-based Instruction,Dixie Canyon Community Charter,DataQuest Reports,Los Angeles
Downtown Value,448,Site-based Instruction,Downtown Value,DataQuest Reports,Los Angeles
Dr. Theodore T. Alexander Jr. Science Center,604,Site-based Instruction,Dr. Theodore T. Alexander Jr. Science Center,DataQuest Reports,Los Angeles
Eagle Collegiate Academy,2106,Site-based Instruction,Eagle Collegiate Academy,DataQuest Reports,Los Angeles
Ednovate - Brio College Prep,1843,Site-based Instruction,Ednovate - Brio College Prep,DataQuest Reports,Los Angeles
Ednovate - East College Prep,1702,Site-based Instruction,Ednovate - East College Prep,DataQuest Reports,Los Angeles
Ednovate - Esperanza College Prep,1842,Site-based Instruction,Ednovate - Esperanza College Prep,DataQuest Reports,Los Angeles
Ednovate - USC Hybrid High College Prep,1401,Site-based Instruction,Ednovate - USC Hybrid High College Prep,DataQuest Reports,Los Angeles
Ednovate College Prep 7,2087,Site-based Instruction,Ednovate College Prep 7,DataQuest Reports,Los Angeles
El Camino Real Charter High,1314,Site-based Instruction,El Camino Real Charter High,DataQuest Reports,Los Angeles
El Oro Way Charter For Enriched Studies,1466,Site-based Instruction,El Oro Way Charter For Enriched Studies,DataQuest Reports,Los Angeles
El Rio Community School,2080,Site-based Instruction,El Rio Community School,DataQuest Reports,Los Angeles
Emerson Community Charter,1688,Site-based Instruction,Emerson Community Charter,DataQuest Reports,Los Angeles
Empower Generations,1836,Independent Study,Empower Generations,DataQuest Reports,Los Angeles
Enadia Way Technology Charter,1474,Site-based Instruction,Enadia Way Technology Charter,DataQuest Reports,Los Angeles
Encino Charter Elementary,1471,Site-based Instruction,Encino Charter Elementary,DataQuest Reports,Los Angeles
Endeavor College Preparatory Charter,1094,Site-based Instruction,Endeavor College Preparatory Charter,DataQuest Reports,Los Angeles
Environmental Charter High,353,Site-based Instruction,Environmental Charter High,DataQuest Reports,Los Angeles
Environmental Charter High - Gardena,2098,Site-based Instruction,Environmental Charter High - Gardena,DataQuest Reports,Los Angeles
Environmental Charter Middle,1204,Site-based Instruction,Environmental Charter Middle,DataQuest Reports,Los Angeles
Environmental Charter Middle - Inglewood,1501,Site-based Instruction,Environmental Charter Middle - Inglewood,DataQuest Reports,Los Angeles
Equitas Academy #2,1402,Site-based Instruction,Equitas Academy #2,DataQuest Reports,Los Angeles
Equitas Academy #3 Charter,1669,Site-based Instruction,Equitas Academy #3 Charter,DataQuest Reports,Los Angeles
Equitas Academy 4,1785,Site-based Instruction,Equitas Academy 4,DataQuest Reports,Los Angeles
Equitas Academy 5,2040,Site-based Instruction,Equitas Academy 5,DataQuest Reports,Los Angeles
Equitas Academy 6,2030,Site-based Instruction,Equitas Academy 6,DataQuest Reports,Los Angeles
Equitas Academy Charter,1093,Site-based Instruction,Equitas Academy Charter,DataQuest Reports,Los Angeles
Everest Value,1638,Site-based Instruction,Everest Value,DataQuest Reports,Los Angeles
Extera Public,1300,Site-based Instruction,Extera Public,DataQuest Reports,Los Angeles
Extera Public School No. 2,1562,Site-based Instruction,Extera Public School No. 2,DataQuest Reports,Los Angeles
Family First Charter,1558,Combination of Site-based and IS,Family First Charter,DataQuest Reports,Los Angeles
Fenton Avenue Charter,30,Site-based Instruction,Fenton Avenue Charter,DataQuest Reports,Los Angeles
Fenton Charter Leadership Academy,1613,Site-based Instruction,Fenton Charter Leadership Academy,DataQuest Reports,Los Angeles
Fenton Primary Center,911,Site-based Instruction,Fenton Primary Center,DataQuest Reports,Los Angeles
Fenton STEM Academy: Elementary Center for Science Technology Engineering and Mathematics,1605,Site-based Instruction,Fenton STEM Academy: Elementary Center for Science Technology Engineering and Mathematics,DataQuest Reports,Los Angeles
Gabriella Charter,713,Site-based Instruction,Gabriella Charter,DataQuest Reports,Los Angeles
Gabriella Charter 2,1853,Site-based Instruction,Gabriella Charter 2,DataQuest Reports,Los Angeles
Gaspar De Portola Charter Middle,2074,Site-based Instruction,Gaspar De Portola Charter Middle,DataQuest Reports,Los Angeles
George Ellery Hale Charter Academy,1346,Site-based Instruction,George Ellery Hale Charter Academy,DataQuest Reports,Los Angeles
Girls Athletic Leadership School Los Angeles,1791,Site-based Instruction,Girls Athletic Leadership School Los Angeles,DataQuest Reports,Los Angeles
Global Education Academy,934,Site-based Instruction,Global Education Academy,DataQuest Reports,Los Angeles
Global Education Academy 2,1641,Site-based Instruction,Global Education Academy 2,DataQuest Reports,Los Angeles
Goethe International Charter,1036,Site-based Instruction,Goethe International Charter,DataQuest Reports,Los Angeles
Gorman Learning Center,285,Independent Study,Gorman Learning Center,DataQuest Reports,Los Angeles
Grace Hopper STEM Academy,1612,Site-based Instruction,Grace Hopper STEM Academy,DataQuest Reports,Los Angeles
Granada Hills Charter,572,Site-based Instruction,Granada Hills Charter,DataQuest Reports,Los Angeles
Grover Cleveland Charter High,1571,Site-based Instruction,Grover Cleveland Charter High,DataQuest Reports,Los Angeles
Hamlin Charter Academy,1472,Site-based Instruction,Hamlin Charter Academy,DataQuest Reports,Los Angeles
Hawthorne Math and Science Academy,523,Site-based Instruction,Hawthorne Math and Science Academy,DataQuest Reports,Los Angeles
Haynes Charter For Enriched Studies,1470,Site-based Instruction,Haynes Charter For Enriched Studies,DataQuest Reports,Los Angeles
Hesby Oaks Leadership Charter,1468,Site-based Instruction,Hesby Oaks Leadership Charter,DataQuest Reports,Los Angeles
High Tech LA,537,Site-based Instruction,High Tech LA,DataQuest Reports,Los Angeles
High Tech LA Middle,1929,Site-based Instruction,High Tech LA Middle,DataQuest Reports,Los Angeles
ICEF Inglewood Elementary Charter Academy,1121,Site-based Instruction,ICEF Inglewood Elementary Charter Academy,DataQuest Reports,Los Angeles
ICEF Innovation Los Angeles Charter,1037,Site-based Instruction,ICEF Innovation Los Angeles Charter,DataQuest Reports,Los Angeles
ICEF View Park Preparatory Elementary,190,Site-based Instruction,ICEF View Park Preparatory Elementary,DataQuest Reports,Los Angeles
ICEF View Park Preparatory High,543,Site-based Instruction,ICEF View Park Preparatory High,DataQuest Reports,Los Angeles
ICEF View Park Preparatory Middle,506,Site-based Instruction,ICEF View Park Preparatory Middle,DataQuest Reports,Los Angeles
ICEF Vista Elementary Academy,1039,Site-based Instruction,ICEF Vista Elementary Academy,DataQuest Reports,Los Angeles
ICEF Vista Middle Academy,953,Site-based Instruction,ICEF Vista Middle Academy,DataQuest Reports,Los Angeles
iLEAD Agua Dulce,2003,Site-based Instruction,iLEAD Agua Dulce,DataQuest Reports,Los Angeles
iLEAD Hybrid,1699,Independent Study,iLEAD Hybrid,DataQuest Reports,Los Angeles
iLEAD Lancaster Charter,1376,Site-based Instruction,iLEAD Lancaster Charter,DataQuest Reports,Los Angeles
iLEAD Online,1902,Independent Study,iLEAD Online,DataQuest Reports,Los Angeles
Ingenium Charter,1157,Site-based Instruction,Ingenium Charter,DataQuest Reports,Los Angeles
Ingenium Charter Middle,1536,Site-based Instruction,Ingenium Charter Middle,DataQuest Reports,Los Angeles
Ingenium Clarion Charter Middle,1952,Site-based Instruction,Ingenium Clarion Charter Middle,DataQuest Reports,Los Angeles
Intellectual Virtues Academy,1814,Site-based Instruction,Intellectual Virtues Academy,DataQuest Reports,Los Angeles
Intellectual Virtues Academy of Long Beach,1504,Site-based Instruction,Intellectual Virtues Academy of Long Beach,DataQuest Reports,Los Angeles
Invictus Leadership Academy,2088,Site-based Instruction,Invictus Leadership Academy,DataQuest Reports,Los Angeles
iQ Academy California-Los Angeles,1135,Independent Study,iQ Academy California-Los Angeles,DataQuest Reports,Los Angeles
ISANA Achernar Academy,1827,Site-based Instruction,ISANA Achernar Academy,DataQuest Reports,Los Angeles
ISANA Cardinal Academy,1285,Site-based Instruction,ISANA Cardinal Academy,DataQuest Reports,Los Angeles
ISANA Himalia Academy,1858,Site-based Instruction,ISANA Himalia Academy,DataQuest Reports,Los Angeles
ISANA Nascent Academy,716,Site-based Instruction,ISANA Nascent Academy,DataQuest Reports,Los Angeles
ISANA Octavia Academy,1232,Site-based Instruction,ISANA Octavia Academy,DataQuest Reports,Los Angeles
ISANA Palmati Academy,1246,Site-based Instruction,ISANA Palmati Academy,DataQuest Reports,Los Angeles
Ivy Academia,619,Site-based Instruction,Ivy Academia,DataQuest Reports,Los Angeles
"Ivy Bound Academy Math, Science, and Technology Charter Middle 2",1570,Site-based Instruction,"Ivy Bound Academy Math, Science, and Technology Charter Middle 2",DataQuest Reports,Los Angeles
"Ivy Bound Academy of Math, Science, and Technology Charter Middle",936,Site-based Instruction,"Ivy Bound Academy of Math, Science, and Technology Charter Middle",DataQuest Reports,Los Angeles
James Jordan Middle,734,Site-based Instruction,James Jordan Middle,DataQuest Reports,Los Angeles
Jardin de la Infancia,663,Site-based Instruction,Jardin de la Infancia,DataQuest Reports,Los Angeles
Justice Street Academy Charter,1487,Site-based Instruction,Justice Street Academy Charter,DataQuest Reports,Los Angeles
Kenter Canyon Elementary Charter,227,Site-based Instruction,Kenter Canyon Elementary Charter,DataQuest Reports,Los Angeles
KIPP Academy of Innovation,1586,Site-based Instruction,KIPP Academy of Innovation,DataQuest Reports,Los Angeles
KIPP Academy of Opportunity,530,Site-based Instruction,KIPP Academy of Opportunity,DataQuest Reports,Los Angeles
KIPP Comienza Community Prep,1196,Site-based Instruction,KIPP Comienza Community Prep,DataQuest Reports,Los Angeles
KIPP Compton Community,1996,Site-based Instruction,KIPP Compton Community,DataQuest Reports,Los Angeles
KIPP Corazon Academy,1855,Site-based Instruction,KIPP Corazon Academy,DataQuest Reports,Los Angeles
KIPP Empower Academy,1195,Site-based Instruction,KIPP Empower Academy,DataQuest Reports,Los Angeles
KIPP Ignite Academy,1720,Site-based Instruction,KIPP Ignite Academy,DataQuest Reports,Los Angeles
KIPP Iluminar Academy,1508,Site-based Instruction,KIPP Iluminar Academy,DataQuest Reports,Los Angeles
KIPP Los Angeles College Preparatory,531,Site-based Instruction,KIPP Los Angeles College Preparatory,DataQuest Reports,Los Angeles
KIPP Philosophers Academy,1378,Site-based Instruction,KIPP Philosophers Academy,DataQuest Reports,Los Angeles
KIPP Poder Public School,2112,Site-based Instruction,KIPP Poder Public School,DataQuest Reports,Los Angeles
KIPP Promesa Prep,1721,Site-based Instruction,KIPP Promesa Prep,DataQuest Reports,Los Angeles
KIPP Pueblo Unido,2041,Site-based Instruction,KIPP Pueblo Unido,DataQuest Reports,Los Angeles
KIPP Raices Academy,1010,Site-based Instruction,KIPP Raices Academy,DataQuest Reports,Los Angeles
KIPP Scholar Academy,1377,Site-based Instruction,KIPP Scholar Academy,DataQuest Reports,Los Angeles
KIPP Sol Academy,1379,Site-based Instruction,KIPP Sol Academy,DataQuest Reports,Los Angeles
KIPP Vida Preparatory Academy,1587,Site-based Instruction,KIPP Vida Preparatory Academy,DataQuest Reports,Los Angeles
Knollwood Preparatory Academy,1486,Site-based Instruction,Knollwood Preparatory Academy,DataQuest Reports,Los Angeles
La Tijera K-8 Charter School Academy of Excellence,1591,Site-based Instruction,La Tijera K-8 Charter School Academy of Excellence,DataQuest Reports,Los Angeles
La Verne Science and Technology Charter,1578,Site-based Instruction,La Verne Science and Technology Charter,DataQuest Reports,Los Angeles
Larchmont Charter,717,Site-based Instruction,Larchmont Charter,DataQuest Reports,Los Angeles
Lashon Academy,1560,Site-based Instruction,Lashon Academy,DataQuest Reports,Los Angeles
Lashon Academy City,2029,Site-based Instruction,Lashon Academy City,DataQuest Reports,Los Angeles
Learning by Design Charter,1959,Site-based Instruction,Learning by Design Charter,DataQuest Reports,Los Angeles
Learning Works,1031,Independent Study,Learning Works,DataQuest Reports,Los Angeles
"Lennox Mathematics, Science and Technology Academy",509,Site-based Instruction,"Lennox Mathematics, Science and Technology Academy",DataQuest Reports,Los Angeles
Libertas College Preparatory Charter,1711,Site-based Instruction,Libertas College Preparatory Charter,DataQuest Reports,Los Angeles
Life Source International Charter,1225,Site-based Instruction,Life Source International Charter,DataQuest Reports,Los Angeles
Lifeline Education Charter,963,Site-based Instruction,Lifeline Education Charter,DataQuest Reports,Los Angeles
Lockhurst Drive Charter Elementary,1478,Site-based Instruction,Lockhurst Drive Charter Elementary,DataQuest Reports,Los Angeles
Los Angeles Academy of Arts and Enterprise,675,Site-based Instruction,Los Angeles Academy of Arts and Enterprise,DataQuest Reports,Los Angeles
Los Angeles College Prep Academy,741,Site-based Instruction,Los Angeles College Prep Academy,DataQuest Reports,Los Angeles
Los Angeles Leadership Academy,461,Site-based Instruction,Los Angeles Leadership Academy,DataQuest Reports,Los Angeles
Los Angeles Leadership Primary Academy,1333,Site-based Instruction,Los Angeles Leadership Primary Academy,DataQuest Reports,Los Angeles
Los Feliz Charter Middle School for the Arts,1960,Site-based Instruction,Los Feliz Charter Middle School for the Arts,DataQuest Reports,Los Angeles
Los Feliz Charter School for the Arts,827,Site-based Instruction,Los Feliz Charter School for the Arts,DataQuest Reports,Los Angeles
Magnolia Science Academy,438,Site-based Instruction,Magnolia Science Academy,DataQuest Reports,Los Angeles
Magnolia Science Academy 2,906,Site-based Instruction,Magnolia Science Academy 2,DataQuest Reports,Los Angeles
Magnolia Science Academy 3,917,Site-based Instruction,Magnolia Science Academy 3,DataQuest Reports,Los Angeles
Magnolia Science Academy 4,986,Site-based Instruction,Magnolia Science Academy 4,DataQuest Reports,Los Angeles
Magnolia Science Academy 5,987,Site-based Instruction,Magnolia Science Academy 5,DataQuest Reports,Los Angeles
Magnolia Science Academy 6,988,Site-based Instruction,Magnolia Science Academy 6,DataQuest Reports,Los Angeles
Magnolia Science Academy 7,989,Site-based Instruction,Magnolia Science Academy 7,DataQuest Reports,Los Angeles
Magnolia Science Academy Bell,1236,Site-based Instruction,Magnolia Science Academy Bell,DataQuest Reports,Los Angeles
Marquez Charter,228,Site-based Instruction,Marquez Charter,DataQuest Reports,Los Angeles
Math and Science College Preparatory,1412,Site-based Instruction,Math and Science College Preparatory,DataQuest Reports,Los Angeles
Matrix For Success Academy,1961,Independent Study,Matrix For Success Academy,DataQuest Reports,Los Angeles
"Method Schools, LA",1697,Combination of Site-based and IS,"Method Schools, LA",DataQuest Reports,Los Angeles
Mission Academy,1972,Independent Study,Mission Academy,DataQuest Reports,Los Angeles
Mission View Public,888,Independent Study,Mission View Public,DataQuest Reports,Los Angeles
Monsenor Oscar Romero Charter Middle,931,Site-based Instruction,Monsenor Oscar Romero Charter Middle,DataQuest Reports,Los Angeles
Montague Charter Academy,115,Site-based Instruction,Montague Charter Academy,DataQuest Reports,Los Angeles
Multicultural Learning Center,388,Site-based Instruction,Multicultural Learning Center,DataQuest Reports,Los Angeles
N.E.W. Academy Canoga Park,592,Site-based Instruction,N.E.W. Academy Canoga Park,DataQuest Reports,Los Angeles
N.E.W. Academy of Science and Arts,521,Site-based Instruction,N.E.W. Academy of Science and Arts,DataQuest Reports,Los Angeles
Nestle Avenue Charter,1465,Site-based Instruction,Nestle Avenue Charter,DataQuest Reports,Los Angeles
New Designs Charter,601,Site-based Instruction,New Designs Charter,DataQuest Reports,Los Angeles
New Designs Charter School-Watts,1120,Site-based Instruction,New Designs Charter School-Watts,DataQuest Reports,Los Angeles
New Heights Charter,761,Site-based Instruction,New Heights Charter,DataQuest Reports,Los Angeles
new Horizons Charter Academy,1567,Site-based Instruction,new Horizons Charter Academy,DataQuest Reports,Los Angeles
New Los Angeles Charter,998,Site-based Instruction,New Los Angeles Charter,DataQuest Reports,Los Angeles
New Los Angeles Charter Elementary,1788,Site-based Instruction,New Los Angeles Charter Elementary,DataQuest Reports,Los Angeles
New Millennium Secondary,1020,Site-based Instruction,New Millennium Secondary,DataQuest Reports,Los Angeles
New Opportunities Charter,1557,Combination of Site-based and IS,New Opportunities Charter,DataQuest Reports,Los Angeles
New Village Girls Academy,791,Site-based Instruction,New Village Girls Academy,DataQuest Reports,Los Angeles
New West Charter,431,Site-based Instruction,New West Charter,DataQuest Reports,Los Angeles
North Valley Military Institute College Preparatory Academy,540,Site-based Instruction,North Valley Military Institute College Preparatory Academy,DataQuest Reports,Los Angeles
Ocean Charter,569,Site-based Instruction,Ocean Charter,DataQuest Reports,Los Angeles
OCS - South,1921,Site-based Instruction,OCS - South,DataQuest Reports,Los Angeles
Odyssey Charter,249,Site-based Instruction,Odyssey Charter,DataQuest Reports,Los Angeles
Open Charter Magnet,12,Site-based Instruction,Open Charter Magnet,DataQuest Reports,Los Angeles
Opportunities for Learning - Baldwin Park,402,Independent Study,Opportunities for Learning - Baldwin Park,DataQuest Reports,Los Angeles
Opportunities for Learning - Duarte,1599,Independent Study,Opportunities for Learning - Duarte,DataQuest Reports,Los Angeles
Opportunities for Learning - Santa Clarita,214,Independent Study,Opportunities for Learning - Santa Clarita,DataQuest Reports,Los Angeles
"Options for Youth - Duarte, Inc",2060,Independent Study,"Options for Youth - Duarte, Inc",DataQuest Reports,Los Angeles
Options for Youth San Gabriel,117,Independent Study,Options for Youth San Gabriel,DataQuest Reports,Los Angeles
"Options For Youth-Acton, INC.",1911,Independent Study,"Options For Youth-Acton, INC.",DataQuest Reports,Los Angeles
Oscar De La Hoya Animo Charter High,581,Site-based Instruction,Oscar De La Hoya Animo Charter High,DataQuest Reports,Los Angeles
Our Community Charter,739,Site-based Instruction,Our Community Charter,DataQuest Reports,Los Angeles
Pacoima Charter Elementary,583,Site-based Instruction,Pacoima Charter Elementary,DataQuest Reports,Los Angeles
Palisades Charter Elementary,229,Site-based Instruction,Palisades Charter Elementary,DataQuest Reports,Los Angeles
Palisades Charter High,37,Site-based Instruction,Palisades Charter High,DataQuest Reports,Los Angeles
Palmdale Academy Charter,2119,Site-based Instruction,Palmdale Academy Charter,DataQuest Reports,Los Angeles
Palmdale Aerospace Academy,1367,Site-based Instruction,Palmdale Aerospace Academy,DataQuest Reports,Los Angeles
Para Los Niños - Evelyn Thurman Gratts Primary,1215,Site-based Instruction,Para Los Niños - Evelyn Thurman Gratts Primary,DataQuest Reports,Los Angeles
Para Los Niños Charter,475,Site-based Instruction,Para Los Niños Charter,DataQuest Reports,Los Angeles
Para Los Niños Middle,1007,Site-based Instruction,Para Los Niños Middle,DataQuest Reports,Los Angeles
Pasadena Rosebud Academy,857,Site-based Instruction,Pasadena Rosebud Academy,DataQuest Reports,Los Angeles
Paul Revere Charter Middle,225,Site-based Instruction,Paul Revere Charter Middle,DataQuest Reports,Los Angeles
Plainview Academic Charter Academy,1435,Site-based Instruction,Plainview Academic Charter Academy,DataQuest Reports,Los Angeles
Pomelo Community Charter,1347,Site-based Instruction,Pomelo Community Charter,DataQuest Reports,Los Angeles
Port of Los Angeles High,542,Site-based Instruction,Port of Los Angeles High,DataQuest Reports,Los Angeles
PREPA TEC - Los Angeles,1542,Site-based Instruction,PREPA TEC - Los Angeles,DataQuest Reports,Los Angeles
PUC CALS Middle School and Early College High,331,Site-based Instruction,PUC CALS Middle School and Early College High,DataQuest Reports,Los Angeles
PUC Community Charter Elementary,1657,Site-based Instruction,PUC Community Charter Elementary,DataQuest Reports,Los Angeles
PUC Community Charter Middle and PUC Community Charter Early College High,213,Site-based Instruction,PUC Community Charter Middle and PUC Community Charter Early College High,DataQuest Reports,Los Angeles
PUC Early College Academy for Leaders and Scholars (eCALS),1354,Site-based Instruction,PUC Early College Academy for Leaders and Scholars (eCALS),DataQuest Reports,Los Angeles
PUC Excel Charter Academy,798,Site-based Instruction,PUC Excel Charter Academy,DataQuest Reports,Los Angeles
PUC Inspire Charter Academy,1626,Site-based Instruction,PUC Inspire Charter Academy,DataQuest Reports,Los Angeles
PUC Lakeview Charter Academy,603,Site-based Instruction,PUC Lakeview Charter Academy,DataQuest Reports,Los Angeles
PUC Lakeview Charter High,1241,Site-based Instruction,PUC Lakeview Charter High,DataQuest Reports,Los Angeles
PUC Milagro Charter,600,Site-based Instruction,PUC Milagro Charter,DataQuest Reports,Los Angeles
PUC Nueva Esperanza Charter Academy,1092,Site-based Instruction,PUC Nueva Esperanza Charter Academy,DataQuest Reports,Los Angeles
PUC Triumph Charter Academy and PUC Triumph Charter High,797,Site-based Instruction,PUC Triumph Charter Academy and PUC Triumph Charter High,DataQuest Reports,Los Angeles
Puente Charter,473,Site-based Instruction,Puente Charter,DataQuest Reports,Los Angeles
Renaissance Arts Academy,579,Site-based Instruction,Renaissance Arts Academy,DataQuest Reports,Los Angeles
Reseda Charter High,2005,Site-based Instruction,Reseda Charter High,DataQuest Reports,Los Angeles
Resolute Academy Charter,1642,Site-based Instruction,Resolute Academy Charter,DataQuest Reports,Los Angeles
Rise Kohyang Elementary,1927,Site-based Instruction,Rise Kohyang Elementary,DataQuest Reports,Los Angeles
Rise Kohyang High,1786,Site-based Instruction,Rise Kohyang High,DataQuest Reports,Los Angeles
Rise Kohyang Middle,1315,Site-based Instruction,Rise Kohyang Middle,DataQuest Reports,Los Angeles
Riverside Drive Charter,1362,Site-based Instruction,Riverside Drive Charter,DataQuest Reports,Los Angeles
Robert A. Millikan Affiliated Charter & Performing Arts Magnet Middle,1473,Site-based Instruction,Robert A. Millikan Affiliated Charter & Performing Arts Magnet Middle,DataQuest Reports,Los Angeles
Russell Westbrook Why Not? High,1817,Site-based Instruction,Russell Westbrook Why Not? High,DataQuest Reports,Los Angeles
Russell Westbrook Why Not? Middle,1818,Site-based Instruction,Russell Westbrook Why Not? Middle,DataQuest Reports,Los Angeles
Sage Oak Charter School- Keppel,1886,Independent Study,Sage Oak Charter School- Keppel,DataQuest Reports,Los Angeles
San Jose Charter Academy,142,Site-based Instruction,San Jose Charter Academy,DataQuest Reports,Los Angeles
Santa Clarita Valley International,981,Site-based Instruction,Santa Clarita Valley International,DataQuest Reports,Los Angeles
